2023-05-16 22:05:939 INFO  CellPhonesPage :39 - Click on List view tab[[ChromeDriver: chrome on WINDOWS (34f177b552d9f342724fb93df36f423a)] -> xpath: //a[normalize-space()='List']]
2023-05-16 22:05:566 INFO  HomePage :44 - Select menu option Computers
2023-05-16 22:05:601 INFO  HomePage :50 - Click on Computer Menu tab [[ChromeDriver: chrome on WINDOWS (f194c02854354bd6b956b65239522adc)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-05-16 22:05:463 INFO  HomePage :59 - Click on Logout LinkDesktop tab [[ChromeDriver: chrome on WINDOWS (f194c02854354bd6b956b65239522adc)] -> xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']]
2023-05-16 22:05:848 INFO  HomePage :44 - Select menu option Computers
2023-05-16 22:05:876 INFO  HomePage :50 - Click on Computer Menu tab [[ChromeDriver: chrome on WINDOWS (302e68b00ab570e29b30f0bf857fe613)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-05-16 22:05:116 INFO  HomePage :59 - Click on Logout LinkDesktop tab [[ChromeDriver: chrome on WINDOWS (302e68b00ab570e29b30f0bf857fe613)] -> xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']]
2023-05-16 22:05:304 INFO  DesktopPage :77 - Select Name : A to Z from sort by Position[[ChromeDriver: chrome on WINDOWS (302e68b00ab570e29b30f0bf857fe613)] -> id: products-orderby]
2023-05-16 22:05:848 INFO  HomePage :67 - Mouse hover on Electronics tab [[ChromeDriver: chrome on WINDOWS (c964ee1eaf938b16f994685b2aebe0bc)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 22:05:849 INFO  HomePage :68 - Mouse hover on Cell phones and click [[ChromeDriver: chrome on WINDOWS (c964ee1eaf938b16f994685b2aebe0bc)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Cell phones']]
2023-05-16 22:05:897 INFO  HomePage :67 - Mouse hover on Electronics tab [[ChromeDriver: chrome on WINDOWS (ea13c33b6a6b3b642387634f2cc321e9)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 22:05:898 INFO  HomePage :68 - Mouse hover on Cell phones and click [[ChromeDriver: chrome on WINDOWS (ea13c33b6a6b3b642387634f2cc321e9)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Cell phones']]
2023-05-16 22:05:129 INFO  CellPhonesPage :39 - Click on List view tab[[ChromeDriver: chrome on WINDOWS (ea13c33b6a6b3b642387634f2cc321e9)] -> xpath: //a[normalize-space()='List']]
2023-05-16 22:05:284 INFO  HomePage :44 - Select menu option Computers
2023-05-16 22:05:338 INFO  HomePage :50 - Click on Computer Menu tab [[ChromeDriver: chrome on WINDOWS (29e20228b976641bb90580cc1f8e9c77)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-05-16 22:05:259 INFO  HomePage :59 - Click on Logout LinkDesktop tab [[ChromeDriver: chrome on WINDOWS (29e20228b976641bb90580cc1f8e9c77)] -> xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']]
2023-05-16 22:05:586 INFO  HomePage :67 - Mouse hover on Electronics tab [[ChromeDriver: chrome on WINDOWS (dbd3f7721107378e0a178409d2455b9d)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 22:05:589 INFO  HomePage :68 - Mouse hover on Cell phones and click [[ChromeDriver: chrome on WINDOWS (dbd3f7721107378e0a178409d2455b9d)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Cell phones']]
2023-05-16 22:05:333 INFO  HomePage :44 - Select menu option Computers
2023-05-16 22:05:377 INFO  HomePage :50 - Click on Computer Menu tab [[ChromeDriver: chrome on WINDOWS (4b5e20e7e1e6f1ee920a231220733981)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-05-16 22:05:974 INFO  HomePage :59 - Click on Logout LinkDesktop tab [[ChromeDriver: chrome on WINDOWS (4b5e20e7e1e6f1ee920a231220733981)] -> xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']]
2023-05-16 22:05:296 INFO  HomePage :67 - Mouse hover on Electronics tab [[ChromeDriver: chrome on WINDOWS (dd6e1503ca1ba88d643c6ede91508d5c)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 22:05:298 INFO  HomePage :68 - Mouse hover on Cell phones and click [[ChromeDriver: chrome on WINDOWS (dd6e1503ca1ba88d643c6ede91508d5c)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Cell phones']]
2023-05-16 22:05:125 INFO  HomePage :44 - Select menu option Computers
2023-05-16 22:05:228 INFO  HomePage :50 - Click on Computer Menu tab [[ChromeDriver: chrome on WINDOWS (41754ed5711179b02ce74db9b9115874)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-05-16 22:05:919 INFO  HomePage :59 - Click on Logout LinkDesktop tab [[ChromeDriver: chrome on WINDOWS (41754ed5711179b02ce74db9b9115874)] -> xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']]
2023-05-16 22:05:246 INFO  DesktopPage :77 - Select Name : A to Z from sort by Position[[ChromeDriver: chrome on WINDOWS (41754ed5711179b02ce74db9b9115874)] -> xpath: //select[@name='products-orderby']]
2023-05-16 22:05:399 INFO  HomePage :67 - Mouse hover on Electronics tab [[ChromeDriver: chrome on WINDOWS (fa916c242a449f242f1997b5915d2e1c)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 22:05:401 INFO  HomePage :68 - Mouse hover on Cell phones and click [[ChromeDriver: chrome on WINDOWS (fa916c242a449f242f1997b5915d2e1c)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Cell phones']]
2023-05-16 22:05:734 INFO  CellPhonesPage :39 - Click on List view tab[[ChromeDriver: chrome on WINDOWS (fa916c242a449f242f1997b5915d2e1c)] -> xpath: //a[normalize-space()='List']]
2023-05-16 22:05:814 INFO  HomePage :44 - Select menu option Computers
2023-05-16 22:05:878 INFO  HomePage :50 - Click on Computer Menu tab [[ChromeDriver: chrome on WINDOWS (5213d76861523200611a67cdb4772e1e)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
